State,FirstiNatReport,FirstInvasion,,
NY,9/5/2019,8/14/2020,,
NJ,7/18/2021,7/17/2018,,
PA,11/7/2017,9/22/2014,,
OH,6/29/2022,8/26/2021,,
VA,10/2/2018,,,
MD,9/29/2019,,,
DE,9/27/2018,,,
,,,,
,,,,
