ObservedDate,County,State,Count,Year,DOY
8/25/2018,Lehigh,PA,1,2018,237
8/25/2018,Philadelphia,PA,1,2018,237
8/28/2018,Montgomery,PA,1,2018,240
8/16/2018,Montgomery,PA,1,2018,228
8/26/2018,Montgomery,PA,1,2018,238
8/26/2018,Montgomery,PA,1,2018,238
8/23/2018,Montgomery,PA,1,2018,235
8/27/2018,Chester,PA,1,2018,239
8/28/2018,Montgomery,PA,1,2018,240
8/18/2018,Berks,PA,1,2018,230
8/29/2018,Montgomery,PA,1,2018,241
8/29/2018,Northampton,PA,1,2018,241
8/30/2018,Northampton,PA,1,2018,242
8/30/2018,Lehigh,PA,1,2018,242
8/24/2018,Montgomery,PA,1,2018,236
9/1/2018,Chester,PA,1,2018,244
9/1/2018,Northampton,PA,1,2018,244
9/1/2018,Montgomery,PA,1,2018,244
9/1/2018,Lehigh,PA,1,2018,244
9/1/2018,Centre,PA,1,2018,244
7/15/2017,Lebanon,PA,1,2017,196
9/2/2018,Montgomery,PA,1,2018,245
8/26/2018,Chester,PA,1,2018,238
9/3/2018,Washington,PA,1,2018,246
9/3/2018,Bucks,PA,1,2018,246
9/4/2018,Montgomery,PA,1,2018,247
9/5/2018,Montgomery,PA,1,2018,248
9/2/2018,Lehigh,PA,1,2018,245
9/6/2018,Northampton,PA,1,2018,249
9/7/2018,Berks,PA,1,2018,250
9/7/2018,Lehigh,PA,1,2018,250
9/7/2018,Montgomery,PA,1,2018,250
9/8/2018,Berks,PA,1,2018,251
9/8/2018,Lancaster,PA,1,2018,251
9/8/2018,Lancaster,PA,1,2018,251
9/8/2018,Lancaster,PA,1,2018,251
9/8/2018,Northampton,PA,1,2018,251
9/8/2018,Berks,PA,1,2018,251
9/8/2018,Berks,PA,1,2018,251
9/7/2018,Northampton,PA,1,2018,250
9/8/2018,Lehigh,PA,1,2018,251
9/8/2018,Chester,PA,1,2018,251
9/5/2018,Lehigh,PA,1,2018,248
9/1/2018,Berks,PA,1,2018,244
9/12/2018,Montgomery,PA,1,2018,255
9/13/2018,Montgomery,PA,1,2018,256
9/13/2018,Montgomery,PA,1,2018,256
9/13/2018,Bucks,PA,1,2018,256
9/13/2018,Bucks,PA,1,2018,256
9/14/2018,Berks,PA,1,2018,257
9/15/2018,Berks,PA,1,2018,258
9/15/2018,Lancaster,PA,1,2018,258
9/15/2018,Lancaster,PA,1,2018,258
9/15/2018,Lancaster,PA,1,2018,258
9/15/2018,Chester,PA,1,2018,258
9/15/2018,Chester,PA,1,2018,258
9/15/2018,Chester,PA,1,2018,258
9/16/2018,Cumberland,PA,1,2018,259
9/16/2018,Bucks,PA,1,2018,259
9/16/2018,Lehigh,PA,1,2018,259
9/16/2018,Berks,PA,1,2018,259
9/16/2018,Chester,PA,1,2018,259
9/17/2018,Northampton,PA,1,2018,260
9/17/2018,Montgomery,PA,1,2018,260
9/17/2018,Northampton,PA,1,2018,260
9/14/2018,Northampton,PA,1,2018,257
9/18/2018,Lehigh,PA,1,2018,261
9/18/2018,Northampton,PA,1,2018,261
9/18/2018,Lehigh,PA,1,2018,261
9/19/2018,Northampton,PA,1,2018,262
9/19/2018,Chester,PA,1,2018,262
9/19/2018,Chester,PA,1,2018,262
9/19/2018,Chester,PA,1,2018,262
9/19/2018,Montgomery,PA,1,2018,262
9/19/2018,Montgomery,PA,1,2018,262
8/30/2018,Northampton,PA,1,2018,242
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Lancaster,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
9/20/2018,Montgomery,PA,1,2018,263
